76,0.08,0.04,0.04,25
77,0.02,0.02,0.02,49
78,0.42,0.16,0.14,451
79,0.07,0.07,0.07,15
80,0.05,0.01,0.01,79
81,0.02,0.21,0.11,389
82,0.05,0.05,0.1,20
83,0.03,0.05,0.03,63
84,0.13,0.07,0.07,15
85,0.16,0.03,0.03,31
86,0.06,0.09,0.09,32
87,0.56,0.06,0.06,16
88,0.34,0.06,0.06,250
89,0.12,0.03,0.03,58
90,0.07,0.13,0.13,15
91,0.27,0.07,0.07,15
92,0.03,0.02,0.02,65
93,0.04,0.08,0.08,26
94,0.15,0.04,0.04,26
95,0.29,0.17,0.13,24
96,0.17,0.04,0.04,23
97,0.02,0.06,0.02,470
98,0.69,0.03,0.03,439
99,0.72,0.01,0.01,120
100,0.46,0.08,0.06,52
101,0.27,0.02,0.02,41
102,0.21,0.01,0.01,117
103,0.1,0.11,0.05,557
104,0.59,0.01,0.01,73
105,0.55,0.01,0.01,137
106,0.04,0.04,0.04,342
107,0.19,0.04,0.04,26
108,0.1,0.02,0.02,156
109,0.14,0.05,0.05,43
110,0.03,0.03,0.03,34
111,0.61,0.01,0.01,193
112,0.14,0.06,0.06,36
113,0.09,0.03,0.03,33
114,0.04,0.08,0.08,26
115,0.15,0.17,0.12,1169
116,0.08,0.01,0.01,75
117,0.19,0.01,0.01,88
118,0.1,0.01,0.01,173
119,0.25,0.04,0.04,24
120,0.24,0.04,0.04,174
121,0.03,0.03,0.03,40
122,0.19,0.1,0.1,21
123,0.06,0.07,0.07,85
124,0.15,0.05,0.05,41
125,0.07,0.02,0.02,315
126,0.42,0.01,0.01,517
127,0.04,0.04,0.04,25
128,0.15,0.27,0.2,41
129,0.13,0.07,0.07,15
130,0.25,0.03,0.02,114
131,0.06,0.02,0.02,280
132,0.05,0.05,0.05,21
133,0.04,0.02,0.02,531
134,0.13,0.33,0.23,48
135,0.06,0.01,0.01,155
136,0.17,0.03,0.03,30
137,0.37,0.07,0.07,27
138,0.11,0.11,0.11,19
139,0.04,0.07,0.08,135
140,0.12,0.18,0.21,34
141,0.21,0.07,0.04,945
142,0.05,0.1,0.1,20
143,0.09,0.09,0.09,33
144,0.13,0.03,0.03,31
145,0.04,0.06,0.04,90
146,0.08,0.05,0.03,996
147,0.13,0.07,0.05,60
148,0.05,0.05,0.05,21
149,0.18,0.11,0.07,4872
150,0.11,0.03,0.01,183
151,0.02,0.16,0.09,121
152,0.22,0.02,0.02,126
153,0.08,0.02,0.02,193
